tôi	93
rất	90
vào	90
tiếng	77
của	75
khi	72
cuối	67
nghỉ	67
định	58
cho	56
trước	56
để	52
trợ	52
và	51
bắt	47
bị	43
người	40
kết	40
suy	37
nghĩ	37
kỹ	37
quyết	37
việc	37
năm	37
nay	37
cơn	34
bão	34
số	34
ba	34
đổ	34
bộ	34
đất	34
liền	34
gây	34
thiệt	34
hại	34
nặng	34
nề	34
hoa	34
màu	34
công	34
ty	34
anh	31
ấy	31
chước	31
giọng	31
nói	31
diễn	31
viên	31
nổi	31
giống	31
dành	30
thời	30
gian	30
tuần	30
đọc	30
sách	30
ngơi	30
cùng	30
gia	30
đình	30
chúng	26
trân	26
trọng	26
cảm	26
ơn	26
sự	26
hỗ	26
quý	26
báu	26
các	26
nhà	26
tài	26
cuốn	24
truyện	24
tranh	24
này	24
được	24
dịch	24
ra	24
hơn	24
hai	24
mươi	24
thứ	24
khác	24
nhau	24
nửa	22
nữa	22
xe	22
sẽ	22
đến	22
mọi	22
chuẩn	22
hành	22
lý	22
gọn	22
gàng	22
cả	22
nhóm	22
đã	22
nỗ	22
lực	22
nhiều	22
giành	22
chiến	22
thắng	22
trong	22
trận	22
chung	22
bác	21
sĩ	21
chẩn	21
đoán	21
bệnh	21
nhân	21
viêm	21
phổi	21
chỉ	21
nhập	21
viện	21
ngay	21
